season	week	match	map	half	player	score	team	grabs	pops	drops	hold	captures	prevent	ndpops	returns	tags	pups	minutes	goregrab	longholds	goodhandoff	handoff	coregrab	retinbase	nrtags	holdagainst	pupscomp	pm	quickret	flaccids	gohandoff	keyret	saves	cohandoff	capspm	holdpm	grabspm	score%	holdpgrab	spark%	flcd%	tagspm	retpm	prepm	hapm	prepret	prepha	rib%	qr%	nrtpm	kd	kf	pup%
10	1	MGB//MMT	Monarch	1	Mr.Glass	35	MMT	3	6	3	27	0	232	3	7	9	2	10	1	0	1	1	0	2	2	245	18	1	1	0	0	1	0	0	0	2.7	0.3	0	9	1	0	0.9	0.7	23.2	24.5	33.142857142857146	0.9469387755102041	0.2857142857142857	0.14285714285714285	0.2	1.5	0	0.1111111111111111
10	1	MGB//MMT	Monarch	1	Sneak	32	MMT	16	18	15	92	1	48	3	8	8	2	10	5	0	4	5	0	2	0	257	18	-1	2	5	3	0	0	0	0.1	9.2	1.6	0.0625	5.75	0.8	0.3125	0.8	0.8	4.8	25.7	6	0.1867704280155642	0.25	0.25	0	0.4444444444444444	0	0.1111111111111111
10	1	MGB//MMT	Monarch	2	BAllstar	29	MMT	19	20	17	134	2	5	3	3	4	2	10	10	0	9	9	0	0	1	344	18	2	0	3	1	0	0	1	0.2	13.4	1.9	0.10526315789473684	7.052631578947368	1	0.15789473684210525	0.4	0.3	0.5	34.4	1.6666666666666667	0.014534883720930232	0	0	0.1	0.2	0	0.1111111111111111
10	1	MGB//MMT	Monarch	2	aardvark	37	MMT	8	11	8	90	0	135	3	9	11	2	10	3	2	5	5	0	2	2	353	18	-2	2	2	0	0	1	0	0	9	0.8	0	11.25	1	0.25	1.1	0.9	13.5	35.3	15	0.38243626062322944	0.2222222222222222	0.2222222222222222	0.2	1	0	0.1111111111111111
10	1	MGB//MMT	Monarch	2	GriefSeeds	45	MMT	3	8	3	11	0	159	5	20	25	2	10	2	0	1	2	0	7	5	344	18	2	5	1	0	1	0	0	0	1.1	0.3	0	3.6666666666666665	0.5	0.3333333333333333	2.5	2	15.9	34.4	7.95	0.4622093023255814	0.35	0.25	0.5	3.125	0	0.1111111111111111
10	1	MGB//MMT	Monarch	2	LEBRON*JAMES	51	MMT	18	18	15	134	3	24	3	8	11	4	10	8	2	8	11	1	4	3	344	18	2	0	6	1	0	0	0	0.3	13.4	1.8	0.16666666666666666	7.444444444444445	0.7272727272727273	0.3333333333333333	1.1	0.8	2.4	34.4	3	0.06976744186046512	0.5	0	0.3	0.6111111111111112	0	0.2222222222222222
10	1	MGB//MMT	Monarch	2	Sneak	34	MMT	14	16	12	141	2	30	4	4	5	1	10	7	3	6	9	1	1	1	353	18	-2	1	4	1	0	1	0	0.2	14.1	1.4	0.14285714285714285	10.071428571428571	0.6666666666666666	0.2857142857142857	0.5	0.4	3	35.3	7.5	0.08498583569405099	0.25	0.25	0.1	0.3125	0	0.05555555555555555
10	1	MGB//MMT	Monarch	2	Dank Sniper	46	MMT	5	11	5	26	0	139	6	22	23	1	10	2	0	2	3	0	9	1	353	18	-2	7	0	0	0	0	0	0	2.6	0.5	0	5.2	0.6666666666666666	0	2.3	2.2	13.9	35.3	6.318181818181818	0.3937677053824363	0.4090909090909091	0.3181818181818182	0.1	2.090909090909091	0	0.05555555555555555
10	1	MGB//MMT	Monarch	2	Vader	28	MMT	14	15	13	87	1	16	2	4	7	4	10	7	0	5	7	0	0	3	353	18	-2	0	1	1	0	0	0	0.1	8.7	1.4	0.07142857142857142	6.214285714285714	0.7142857142857143	0.07142857142857142	0.7	0.4	1.6	35.3	4	0.0453257790368272	0	0	0.3	0.4666666666666667	0	0.2222222222222222
10	1	MGB//MMT	Monarch	2	Mr.Glass	30	MMT	6	9	6	74	0	130	3	6	9	2	10	3	1	2	4	0	2	3	344	18	2	2	0	1	0	0	0	0	7.4	0.6	0	12.333333333333334	0.5	0	0.9	0.6	13	34.4	21.666666666666668	0.37790697674418605	0.3333333333333333	0.3333333333333333	0.3	1	0	0.1111111111111111
10	1	MPNS//MBAL	EMERALD	1	Arbybear	52	MBAL	4	9	3	47	1	243	6	12	15	2	10	3	1	1	1	1	5	3	221	18	9	5	1	0	0	0	0	0.1	4.7	0.4	0.25	11.75	1	0.25	1.5	1.2	24.3	22.1	20.25	1.0995475113122173	0.4166666666666667	0.4166666666666667	0.3	1.6666666666666667	0	0.1111111111111111
10	1	MPNS//MBAL	EMERALD	1	YoungSinatra	53	MBAL	2	9	2	16	0	244	7	19	25	2	10	1	0	2	2	0	10	6	221	18	9	8	0	0	3	0	0	0	1.6	0.2	0	8	1	0	2.5	1.9	24.4	22.1	12.842105263157896	1.1040723981900453	0.5263157894736842	0.42105263157894735	0.6	2.7777777777777777	0	0.1111111111111111
