season	week	match	map	half	player	score	team	grabs	pops	drops	hold	captures	prevent	ndpops	returns	tags	pups	minutes	goregrab	longholds	goodhandoff	handoff	coregrab	retinbase	nrtags	holdagainst	pupscomp	pm	quickret	flaccids	gohandoff	keyret	saves	cohandoff	capspm	holdpm	grabspm	score%	holdpgrab	spark%	flcd%	tagspm	retpm	prepm	hapm	prepret	prepha	rib%	qr%	nrtpm	kd	kf	pup%
10	1	NTHE//NHGW	EMERALD	1	grumpy	38	NHGW	4	7	4	20	0	99	3	17	20	1	10	1	0	1	2	0	4	3	367	18	-3	5	2	0	0	0	0	0	2	0.4	0	5	0.5	0.5	2	1.7	9.9	36.7	5.823529412	0.2697547684	0.2352941176	0.2941176471	0.3	2.857142857	0	0.05555555556
10	1	NTHE//NHGW	EMERALD	1	Ballywood	52	NHGW	4	14	2	72	2	162	12	10	12	0	10	2	1	2	3	1	2	2	322	18	3	4	0	0	0	0	0	0.2	7.2	0.4	0.5	18	0.6666666667	0	1.2	1	16.2	32.2	16.2	0.5031055901	0.2	0.4	0.2	0.8571428571	0	0
10	1	NTHE//NHGW	EMERALD	1	sun chips	35	NHGW	15	26	14	139	1	27	12	7	11	1	10	7	1	5	6	0	1	4	322	18	3	2	4	3	2	0	1	0.1	13.9	1.5	0.06666666667	9.266666667	0.8333333333	0.2666666667	1.1	0.7	2.7	32.2	3.857142857	0.08385093168	0.1428571429	0.2857142857	0.4	0.4230769231	0	0.05555555556
10	1	NTHE//NHGW	EMERALD	1	UnoriginalSN	57	NHGW	9	15	8	66	1	158	7	12	13	3	10	4	1	3	3	1	3	1	322	18	3	3	2	1	0	0	0	0.1	6.6	0.9	0.1111111111	7.333333333	1	0.2222222222	1.3	1.2	15.8	32.2	13.16666667	0.4906832298	0.25	0.25	0.1	0.8666666667	0	0.1666666667
10	1	NTHE//NHGW	EMERALD	1	coys	31	NHGW	10	14	10	50	0	51	4	9	22	3	10	2	0	3	4	0	4	13	367	18	-3	0	2	1	0	0	0	0	5	1	0	5	0.75	0.2	2.2	0.9	5.1	36.7	5.666666667	0.1389645777	0.4444444444	0	1.3	1.571428571	0	0.1666666667
10	1	NTHE//NHGW	EMERALD	1	ccga4	28	NHGW	15	22	14	90	0	3	8	6	10	6	10	8	0	7	10	0	1	4	322	18	3	0	3	0	0	0	0	0	9	1.5	0	6	0.7	0.2	1	0.6	0.3	32.2	0.5	0.009316770186	0.1666666667	0	0.4	0.4545454545	1	0.3333333333
10	1	NTHE//NHGW	EMERALD	1	Eggo	23	NHGW	13	17	12	133	0	45	5	4	10	2	10	3	2	3	6	0	1	6	367	18	-3	1	3	1	0	0	0	0	13.3	1.3	0	10.23076923	0.5	0.2307692308	1	0.4	4.5	36.7	11.25	0.1226158038	0.25	0.25	0.6	0.5882352941	1	0.1111111111
10	1	NTHE//NHGW	EMERALD	2	GOOBR	15	NHGW	15	15	15	116	0	17	0	3	7	1	10	6	0	3	4	0	1	4	378	18	-5	1	4	5	0	0	0	0	11.6	1.5	0	7.733333333	0.75	0.2666666667	0.7	0.3	1.7	37.8	5.666666667	0.04497354497	0.3333333333	0.3333333333	0.4	0.4666666667	0	0.05555555556
10	1	NTHE//NHGW	EMERALD	2	Ballywood	46	NTHE	4	10	3	14	0	195	7	22	24	0	10	2	0	1	2	0	16	2	310	18	5	14	1	0	2	0	0	0	1.4	0.4	0	3.5	0.5	0.25	2.4	2.2	19.5	31	8.863636364	0.6290322581	0.7272727273	0.6363636364	0.2	2.4	1	0
10	1	NTHE//NHGW	EMERALD	2	UnoriginalSN	34	NTHE	7	13	7	78	0	108	6	8	14	2	10	3	2	4	5	0	3	6	310	18	5	3	0	0	2	1	0	0	7.8	0.7	0	11.14285714	0.8	0	1.4	0.8	10.8	31	13.5	0.3483870968	0.375	0.375	0.6	1.076923077	0	0.1111111111
10	1	NTHE//NHGW	EMERALD	2	teddybear	33	NHGW	13	19	12	61	0	63	7	12	18	2	10	3	1	5	5	0	3	6	378	18	-5	1	5	5	1	0	0	0	6.1	1.3	0	4.692307692	1	0.3846153846	1.8	1.2	6.3	37.8	5.25	0.1666666667	0.25	0.08333333333	0.6	0.9473684211	1	0.1111111111
10	1	NTHE//NHGW	EMERALD	2	ccga4	62	NTHE	17	20	13	135	4	49	7	12	15	5	10	7	1	5	7	3	2	3	310	18	5	3	2	1	2	1	1	0.4	13.5	1.7	0.2352941176	7.941176471	0.7142857143	0.1176470588	1.5	1.2	4.9	31	4.083333333	0.1580645161	0.1666666667	0.25	0.3	0.75	0	0.2777777778
10	1	NTHE//NHGW	EMERALD	2	brighT	50	NTHE	14	15	11	151	3	12	4	9	14	3	10	7	3	5	6	2	2	5	310	18	5	1	1	1	0	0	0	0.3	15.1	1.4	0.2142857143	10.78571429	0.8333333333	0.07142857143	1.4	0.9	1.2	31	1.333333333	0.03870967742	0.2222222222	0.1111111111	0.5	0.9333333333	0	0.1666666667
10	1	NTHE//NHGW	EMERALD	2	coys	45	NHGW	10	14	8	61	2	80	6	9	13	4	10	2	0	2	3	1	1	4	378	18	-5	1	4	2	0	0	0	0.2	6.1	1	0.2	6.1	0.6666666667	0.4	1.3	0.9	8	37.8	8.888888889	0.2116402116	0.1111111111	0.1111111111	0.4	0.9285714286	0	0.2222222222
10	1	NTHE//NHGW	EMERALD	2	Eggo	15	NHGW	16	22	16	72	0	40	6	8	10	1	10	6	0	5	7	0	1	2	378	18	-5	1	9	0	0	0	0	0	7.2	1.6	0	4.5	0.7142857143	0.5625	1	0.8	4	37.8	5	0.1058201058	0.125	0.125	0.2	0.4545454545	0	0.05555555556
10	1	NTHE//NHGW	Monarch	1	team	36	NHGW	13	15	12	119	1	17	3	7	18	2	10	6	1	5	6	1	2	11	367	18	-3	3	3	1	0	0	0	0.1	11.9	1.3	0.07692307692	9.153846154	0.8333333333	0.2307692308	1.8	0.7	1.7	36.7	2.428571429	0.04632152589	0.2857142857	0.4285714286	1.1	1.2	0	0.1111111111
10	1	NTHE//NHGW	Monarch	1	grumpy	38	NHGW	4	7	4	20	0	99	3	17	20	1	10	1	0	1	2	0	4	3	367	18	-3	5	2	0	0	0	0	0	2	0.4	0	5	0.5	0.5	2	1.7	9.9	36.7	5.823529412	0.2697547684	0.2352941176	0.2941176471	0.3	2.857142857	0	0.05555555556
10	1	NTHE//NHGW	Monarch	1	Ballywood	52	NHGW	4	14	2	72	2	162	12	10	12	0	10	2	1	2	3	1	2	2	322	18	3	4	0	0	0	0	0	0.2	7.2	0.4	0.5	18	0.6666666667	0	1.2	1	16.2	32.2	16.2	0.5031055901	0.2	0.4	0.2	0.8571428571	0	0
10	1	NTHE//NHGW	Monarch	1	sun chips	35	NHGW	15	26	14	139	1	27	12	7	11	1	10	7	1	5	6	0	1	4	322	18	3	2	4	3	2	0	1	0.1	13.9	1.5	0.06666666667	9.266666667	0.8333333333	0.2666666667	1.1	0.7	2.7	32.2	3.857142857	0.08385093168	0.1428571429	0.2857142857	0.4	0.4230769231	0	0.05555555556
10	1	NTHE//NHGW	Monarch	1	UnoriginalSN	57	NHGW	9	15	8	66	1	158	7	12	13	3	10	4	1	3	3	1	3	1	322	18	3	3	2	1	0	0	0	0.1	6.6	0.9	0.1111111111	7.333333333	1	0.2222222222	1.3	1.2	15.8	32.2	13.16666667	0.4906832298	0.25	0.25	0.1	0.8666666667	0	0.1666666667
10	1	NTHE//NHGW	Monarch	1	coys	31	NHGW	10	14	10	50	0	51	4	9	22	3	10	2	0	3	4	0	4	13	367	18	-3	0	2	1	0	0	0	0	5	1	0	5	0.75	0.2	2.2	0.9	5.1	36.7	5.666666667	0.1389645777	0.4444444444	0	1.3	1.571428571	0	0.1666666667
10	1	NTHE//NHGW	Monarch	1	ccga4	28	NHGW	15	22	14	90	0	3	8	6	10	6	10	8	0	7	10	0	1	4	322	18	3	0	3	0	0	0	0	0	9	1.5	0	6	0.7	0.2	1	0.6	0.3	32.2	0.5	0.009316770186	0.1666666667	0	0.4	0.4545454545	1	0.3333333333
10	1	NTHE//NHGW	Monarch	1	Eggo	23	NHGW	13	17	12	133	0	45	5	4	10	2	10	3	2	3	6	0	1	6	367	18	-3	1	3	1	0	0	0	0	13.3	1.3	0	10.23076923	0.5	0.2307692308	1	0.4	4.5	36.7	11.25	0.1226158038	0.25	0.25	0.6	0.5882352941	1	0.1111111111
10	1	NTHE//NHGW	Monarch	2	GOOBR	15	NHGW	15	15	15	116	0	17	0	3	7	1	10	6	0	3	4	0	1	4	378	18	-5	1	4	5	0	0	0	0	11.6	1.5	0	7.733333333	0.75	0.2666666667	0.7	0.3	1.7	37.8	5.666666667	0.04497354497	0.3333333333	0.3333333333	0.4	0.4666666667	0	0.05555555556
10	1	NTHE//NHGW	Monarch	2	Ballywood	46	NHGW	4	10	3	14	0	195	7	22	24	0	10	2	0	1	2	0	16	2	310	18	5	14	1	0	2	0	0	0	1.4	0.4	0	3.5	0.5	0.25	2.4	2.2	19.5	31	8.863636364	0.6290322581	0.7272727273	0.6363636364	0.2	2.4	1	0
10	1	NTHE//NHGW	Monarch	2	UnoriginalSN	34	NHGW	7	13	7	78	0	108	6	8	14	2	10	3	2	4	5	0	3	6	310	18	5	3	0	0	2	1	0	0	7.8	0.7	0	11.14285714	0.8	0	1.4	0.8	10.8	31	13.5	0.3483870968	0.375	0.375	0.6	1.076923077	0	0.1111111111
