season	week	match	map	half	player	score	team	grabs	pops	drops	hold	captures	prevent	ndpops	returns	tags	pups	minutes	goregrab	longholds	goodhandoff	handoff	coregrab	retinbase	nrtags	holdagainst	pupscomp	pm	quickret	flaccids	gohandoff	keyret	saves	cohandoff	capspm	holdpm	grabspm	score%	holdpgrab	spark%	flcd%	tagspm	retpm	prepm	hapm	prepret	prepha	rib%	qr%	nrtpm	kd	kf	pup%
10	1	MPNS//MBAL	Monarch	-	Have mad	60	MPNS	32	42	29	201	3	9	13	9	20	5	20	6	2	8	13	0	1	11	722	36	-11	1	13	6	0	1	1	0.15	10.05	1.6	0.09375	6.28125	0.6153846153846154	0.40625	1	0.45	0.45	36.1	1	0.012465373961218837	0.1111111111111111	0.1111111111111111	0.55	0.47619047619047616	0	0.1388888888888889
10	1	MPNS//MBAL	Monarch	-	Stann	53	MPNS	13	23	12	40	0	231	11	20	23	5	20	3	0	2	4	0	4	3	722	36	-11	6	5	1	1	0	0	0	2	0.65	0	3.076923076923077	0.5	0.38461538461538464	1.15	1	11.55	36.1	11.55	0.31994459833795014	0.2	0.3	0.15	1	1	0.1388888888888889
10	1	MOD//MPBP	EMERALD	-	Brake	88	MOD	9	27	9	55	0	432	18	18	23	12	20	6	0	3	3	0	7	5	439	36	-2	10	1	1	0	0	0	0	2.75	0.45	0	6.111111111111111	1	0.1111111111111111	1.15	0.9	21.6	21.95	24	0.9840546697038725	0.3888888888888889	0.5555555555555556	0.25	0.8518518518518519	0	0.3333333333333333
10	1	MOD//MPBP	EMERALD	-	SIDE	77	MPBP	5	22	5	33	0	304	17	30	39	4	20	2	0	3	4	0	16	9	618	36	2	14	2	0	0	0	0	0	1.65	0.25	0	6.6	0.75	0.4	1.95	1.5	15.2	30.9	10.133333333333333	0.4919093851132686	0.5333333333333333	0.4666666666666667	0.45	1.7727272727272727	0	0.1111111111111111
10	1	MOD//MPBP	EMERALD	-	danisk	74	MPBP	26	32	21	149	4	19	11	7	13	3	20	11	1	7	9	3	0	6	618	36	2	0	8	2	0	0	0	0.2	7.45	1.3	0.15384615384615385	5.730769230769231	0.7777777777777778	0.3076923076923077	0.65	0.35	0.95	30.9	2.7142857142857144	0.030744336569579287	0	0	0.3	0.40625	1	0.08333333333333333
10	1	MOD//MPBP	EMERALD	-	okthen	55	MOD	38	49	37	295	1	48	12	7	12	4	20	12	4	14	19	1	5	5	439	36	-2	4	10	3	0	0	0	0.05	14.75	1.9	0.02631578947368421	7.7631578947368425	0.7368421052631579	0.2631578947368421	0.6	0.35	2.4	21.95	6.857142857142857	0.10933940774487472	0.7142857142857143	0.5714285714285714	0.25	0.24489795918367346	0	0.1111111111111111
10	1	MOD//MPBP	EMERALD	-	Turbo	69	MPBP	3	13	3	1	0	332	10	31	43	0	20	0	0	0	0	0	14	12	618	36	2	11	3	1	0	0	0	0	0.05	0.15	0	0.3333333333333333	0	1	2.15	1.55	16.6	30.9	10.709677419354838	0.5372168284789643	0.45161290322580644	0.3548387096774194	0.6	3.3076923076923075	0	0
10	1	MOD//MPBP	EMERALD	-	CB13	85	MOD	7	15	7	14	0	432	8	29	40	3	20	2	0	0	1	0	10	11	439	36	-2	10	2	1	0	0	0	0	0.7	0.35	0	2	0	0.2857142857142857	2	1.45	21.6	21.95	14.89655172413793	0.9840546697038725	0.3448275862068966	0.3448275862068966	0.55	2.6666666666666665	0	0.08333333333333333
10	1	MOD//MPBP	EMERALD	-	Mr. Hat	71	MPBP	36	37	34	256	2	19	3	16	27	5	20	6	3	6	9	0	1	11	618	36	2	0	12	4	0	0	0	0.1	12.8	1.8	0.05555555555555555	7.111111111111111	0.6666666666666666	0.3333333333333333	1.35	0.8	0.95	30.9	1.1875	0.030744336569579287	0.0625	0	0.55	0.7297297297297297	0	0.1388888888888889
10	1	MOD//MPBP	EMERALD	-	DEAD NAN	80	MOD	37	43	34	254	3	25	9	7	15	5	20	17	1	12	18	2	0	8	439	36	-2	1	12	3	0	0	0	0.15	12.7	1.85	0.08108108108108109	6.864864864864865	0.6666666666666666	0.32432432432432434	0.75	0.35	1.25	21.95	3.5714285714285716	0.05694760820045558	0	0.14285714285714285	0.4	0.3488372093023256	0	0.1388888888888889
